Line_ID,Layer,Source_Object,Start_Point,End_Point,X1_dyn_mm,Y1_dyn_mm,X2_dyn_mm,Y2_dyn_mm,Ref_X1_mm,Ref_Y1_mm,Ref_X2_mm,Ref_Y2_mm,DX_mm,DY_mm,Length_mm,Angle_abs_deg,Affected_By,Angle_Rule,Connectivity / Build Note
C5,CUT,C5,P004,P026,65.85,210.35,62.85,213.35,65.85,210.35,62.85,213.35,-3.00,3.00,4.24,45.00,H linked,45 degrees,Upper-left depth tab: fixed 45° corner
C4,CUT,C4,P026,P027,62.85,213.35,15.85,213.35,62.85,213.35,15.85,213.35,-47.00,0.00,47.00,0.00,H / C_AREA_WIDTH,Horizontal length = C_AREA_Width = H - 3,C4 resizes so C AREA width always equals L AREA height.
C3,CUT,CUT_44_object,P027,P028,15.85,213.35,15.85,247.35,15.85,213.35,15.85,247.35,0.00,34.00,34.00,90.00,H,Vertical length = H - 16mm,Upper-left tab vertical stretches with H
C2,CUT,CUT_18_object,P029,P028,62.85,257.35,15.85,247.35,62.85,257.35,15.85,247.35,-47.00,-10.00,48.05,12.01,H / C_AREA_WIDTH,12°; horizontal = H - 3; vertical = (H - 3)*TAN(12°),C2 resizes with C AREA while preserving its 12° angle and endpoint connections.
C1,CUT,CUT_43_object,P002,P029,65.85,260.35,62.85,257.35,65.85,260.35,62.85,257.35,-3.00,-3.00,4.24,45.00,H linked,45 degrees,Upper-left tab lower 45°
D5,CUT,CUT_36_object,P003,P022,315.85,210.35,318.85,213.35,315.85,210.35,318.85,213.35,3.00,3.00,4.24,45.00,H linked,45 degrees,Upper-right tab upper 45°
D4,CUT,CUT_5_object,P022,P023,318.85,213.35,365.85,213.35,318.85,213.35,365.85,213.35,47.00,0.00,47.00,0.00,H / D_AREA_WIDTH mirror of C4,Horizontal length = D_AREA_Width = H - 3,D4 mirrors C4; resize according to same C AREA rule in D direction.
D3,CUT,CUT_37_object,P023,P024,365.85,213.35,365.85,247.35,365.85,213.35,365.85,247.35,0.00,34.00,34.00,90.00,H,Vertical length = H - 16mm,Upper-right tab vertical stretches with H
D2,CUT,CUT_38_object,P025,P024,318.85,257.35,365.85,247.35,318.85,257.35,365.85,247.35,47.00,-10.00,48.05,12.01,H / D_AREA_WIDTH mirror of C2,12°; horizontal = H - 3; vertical = (H - 3)*TAN(12°),D2 mirrors C2; preserve 12° while resizing in D direction.
D1,CUT,CUT_3_object,P001,P025,315.85,260.35,318.85,257.35,315.85,260.35,318.85,257.35,3.00,-3.00,4.24,45.00,H linked,45 degrees,Upper-right tab lower 45°
J4,CUT,CUT_11_object,P001,P038,315.85,260.35,316.85,261.35,315.85,260.35,316.85,261.35,1.00,1.00,1.41,45.00,Linked,45 degrees fixed 1mm,Right main side top connector
J3,CUT,CUT_4_object,P038,P039,316.85,261.35,365.85,261.35,316.85,261.35,365.85,261.35,49.00,0.00,49.00,0.00,Linked,Horizontal fixed 49mm,Right side top horizontal
J2,CUT,CUT_14_object,P040,P041,316.85,449.35,365.85,449.35,316.85,449.35,365.85,449.35,49.00,0.00,49.00,0.00,H mirror/counterpart,Horizontal length = 49mm + Delta_H,J3 is H-linked mirror/counterpart; it must stretch/shrink with H and keep both endpoints connected.
J1,CUT,CUT_15_object,P005,P040,315.85,450.35,316.85,449.35,315.85,450.35,316.85,449.35,1.00,-1.00,1.41,45.00,H mirror/counterpart,Horizontal length = 49mm + Delta_H,J2 is H-linked mirror/counterpart; it must stretch/shrink with H and keep both endpoints connected.
I4,CUT,CUT_9_object,P044,P039,381.35,264.97,365.85,261.35,381.35,264.97,365.85,261.35,-15.50,-3.62,15.92,13.15,W linked,12 degrees,Right outer top slant keeps 12°
I3,CUT,CUT_16_object,P043,P044,381.35,445.73,381.35,264.97,381.35,445.73,381.35,264.97,0.00,-180.76,180.76,90.00,W,Vertical linked to W,Right outer vertical changes with W
I2,CUT,CUT_10_object,P042,P043,371.85,449.35,381.35,445.73,371.85,449.35,381.35,445.73,9.50,-3.62,10.17,20.86,W linked,20.85 degrees,Right outer lower slant keeps 20.85°
I1,CUT,CUT_41_object,P041,P042,365.85,449.35,371.85,449.35,365.85,449.35,371.85,449.35,6.00,0.00,6.00,0.00,Linked,Horizontal fixed 6mm,Right lower small horizontal
H4,CUT,CUT_28_object,P002,P045,65.85,260.35,64.85,261.35,65.85,260.35,64.85,261.35,-1.00,1.00,1.41,45.00,Linked,45 degrees fixed 1mm,Left main side top connector
H3,CUT,CUT_19_object,P045,P046,64.85,261.35,15.85,261.35,64.85,261.35,15.85,261.35,-49.00,0.00,49.00,0.00,H mirror/counterpart,Horizontal length = 49mm + Delta_H,H3 is H-linked mirror/counterpart; it must stretch/shrink with H and keep both endpoints connected.
H2,CUT,CUT_32_object,P047,P048,64.85,449.35,15.85,449.35,64.85,449.35,15.85,449.35,-49.00,0.00,49.00,0.00,H mirror/counterpart,Horizontal length = 49mm + Delta_H,H2 is H-linked mirror/counterpart; it must stretch/shrink with H and keep both endpoints connected.
H1,CUT,CUT_33_object,P006,P047,65.85,450.35,64.85,449.35,65.85,450.35,64.85,449.35,-1.00,-1.00,1.41,45.00,Linked,45 degrees fixed 1mm,Left main side bottom connector
G4,CUT,CUT_26_object,P051,P046,0.35,264.97,15.85,261.35,0.35,264.97,15.85,261.35,15.50,-3.62,15.92,13.15,W linked,12 degrees,Left outer top slant keeps 12°
G3,CUT,CUT_34_object,P050,P051,0.35,445.73,0.35,264.97,0.35,445.73,0.35,264.97,0.00,-180.76,180.76,90.00,W,Vertical linked to W,Left outer vertical changes with W
G2,CUT,CUT_27_object,P049,P050,9.85,449.35,0.35,445.73,9.85,449.35,0.35,445.73,-9.50,-3.62,10.17,20.86,W linked,20.85 degrees,Left outer lower slant keeps 20.85°
G1,CUT,CUT_42_object,P048,P049,15.85,449.35,9.85,449.35,15.85,449.35,9.85,449.35,-6.00,0.00,6.00,0.00,Linked,Horizontal fixed 6mm,Left lower small horizontal
F1,CUT,CUT_7_object,P005,P030,315.85,450.35,318.85,453.35,315.85,450.35,318.85,453.35,3.00,3.00,4.24,45.00,H linked,45 degrees,Bottom-right tab upper 45°
F2,CUT,CUT_39_object,P030,P031,318.85,453.35,365.85,463.35,318.85,453.35,365.85,463.35,47.00,10.00,48.05,12.01,H / F_AREA_WIDTH mirror of C2,12°; horizontal = H - 3; vertical = (H - 3)*TAN(12°),F2 mirrors C2; preserve 12° while resizing in F direction.
F3,CUT,CUT_40_object,P032,P031,365.85,497.35,365.85,463.35,365.85,497.35,365.85,463.35,0.00,-34.00,34.00,90.00,H,Vertical length = H - 16mm,Bottom-right tab vertical stretches with H
F4,CUT,CUT_8_object,P033,P032,318.85,497.35,365.85,497.35,318.85,497.35,365.85,497.35,47.00,0.00,47.00,0.00,H / F_AREA_WIDTH mirror of C4,Horizontal length = F_AREA_Width = H - 3,F4 mirrors C4; resize according to same C AREA rule in F direction.
F5,CUT,CUT_6_object,P007,P033,315.85,500.35,318.85,497.35,315.85,500.35,318.85,497.35,3.00,-3.00,4.24,45.00,H linked,45 degrees,Bottom-right tab lower 45°
E1,CUT,CUT_21_object,P008,P037,65.85,500.35,62.85,497.35,65.85,500.35,62.85,497.35,-3.00,-3.00,4.24,45.00,H linked,45 degrees,Bottom-left tab lower 45°
E2,CUT,CUT_24_object,P037,P036,62.85,497.35,15.85,497.35,62.85,497.35,15.85,497.35,-47.00,0.00,47.00,0.00,H / E_AREA_WIDTH mirror of C4,Horizontal length = E_AREA_Width = H - 3,E2 mirrors C4; resize according to same C AREA rule in E direction.
E3,CUT,CUT_25_object,P036,P035,15.85,497.35,15.85,463.35,15.85,497.35,15.85,463.35,0.00,-34.00,34.00,90.00,H,Vertical length = H - 16mm,Bottom-left tab vertical stretches with H
E4,CUT,CUT_22_object,P034,P035,62.85,453.35,15.85,463.35,62.85,453.35,15.85,463.35,-47.00,10.00,48.05,12.01,H / E_AREA_WIDTH mirror of C2,12°; horizontal = H - 3; vertical = (H - 3)*TAN(12°),E4 mirrors C2; preserve 12° while resizing in E direction.
E5,CUT,CUT_23_object,P006,P034,65.85,450.35,62.85,453.35,65.85,450.35,62.85,453.35,-3.00,3.00,4.24,45.00,H linked,45 degrees,Bottom-left tab upper 45°
M1,CUT,M1 / CUT_1_object,P007,P008,315.85,500.35,65.85,500.35,315.85,500.35,65.85,500.35,-250.00,0.00,250.00,0.00,L,Horizontal length = L,Bottom main cut line stretches with L
CREASE1,CREASE,CREASE_1_object,P001,P002,315.85,260.35,65.85,260.35,315.85,260.35,65.85,260.35,-250.00,0.00,250.00,0.00,L,Horizontal length = L,Main horizontal crease
CREASE2,CREASE,CREASE_2_object,P006,P005,65.85,450.35,315.85,450.35,65.85,450.35,315.85,450.35,250.00,0.00,250.00,0.00,L,Horizontal length = L,Main horizontal crease
CREASE3,CREASE,CREASE_3_object,P004,P003,65.85,210.35,315.85,210.35,65.85,210.35,315.85,210.35,250.00,0.00,250.00,0.00,L,Horizontal length = L,Main horizontal crease
CREASE4,CREASE,CREASE_4_object,P013,P014,74.85,21.35,306.85,21.35,74.85,21.35,306.85,21.35,232.00,0.00,232.00,0.00,L,Horizontal length = L - 18mm,Top cover/lid crease
CREASE5,CREASE,CREASE_5_object,P038,P052,316.85,261.35,381.35,325.85,316.85,261.35,381.35,325.85,64.50,64.50,91.22,45.00,Fixed-angle linked,45 degrees,Right upper diagonal crease
CREASE6,CREASE,CREASE_6_object,P039,P041,365.85,261.35,365.85,449.35,365.85,261.35,365.85,449.35,0.00,188.00,188.00,90.00,W,Vertical length = W - 2mm,Right vertical crease
CREASE7,CREASE,CREASE_7_object,P040,P053,316.85,449.35,381.35,384.85,316.85,449.35,381.35,384.85,64.50,-64.50,91.22,45.00,Fixed-angle linked,45 degrees,Right lower diagonal crease
CREASE8,CREASE,CREASE_8_object,P045,P054,64.85,261.35,0.35,325.85,64.85,261.35,0.35,325.85,-64.50,64.50,91.22,45.00,Fixed-angle linked,45 degrees,Left upper diagonal crease
CREASE9,CREASE,CREASE_9_object,P046,P048,15.85,261.35,15.85,449.35,15.85,261.35,15.85,449.35,0.00,188.00,188.00,90.00,W,Vertical length = W - 2mm,Left vertical crease
CREASE10,CREASE,CREASE_10_object,P047,P055,64.85,449.35,0.35,384.85,64.85,449.35,0.35,384.85,-64.50,-64.50,91.22,45.00,Fixed-angle linked,45 degrees,Left lower diagonal crease
CREASE11,CREASE,CREASE_11_object,P001,P003,315.85,260.35,315.85,210.35,315.85,260.35,315.85,210.35,0.00,-50.00,50.00,90.00,H,Vertical length = H,Right upper H crease
CREASE12,CREASE,CREASE_12_object,P007,P005,315.85,500.35,315.85,450.35,315.85,500.35,315.85,450.35,0.00,-50.00,50.00,90.00,H,Vertical length = H,Right lower H crease
CREASE13,CREASE,CREASE_13_object,P005,P001,315.85,450.35,315.85,260.35,315.85,450.35,315.85,260.35,0.00,-190.00,190.00,90.00,W,Vertical length = W,Right main W crease
CREASE14,CREASE,CREASE_14_object,P002,P004,65.85,260.35,65.85,210.35,65.85,260.35,65.85,210.35,0.00,-50.00,50.00,90.00,H,Vertical length = H,Left upper H crease
CREASE15,CREASE,CREASE_15_object,P008,P006,65.85,500.35,65.85,450.35,65.85,500.35,65.85,450.35,0.00,-50.00,50.00,90.00,H,Vertical length = H,Left lower H crease
CREASE16,CREASE,CREASE_16_object,P006,P002,65.85,450.35,65.85,260.35,65.85,450.35,65.85,260.35,0.00,-190.00,190.00,90.00,W,Vertical length = W,Left main W crease
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
